google,amazon,microsoft,ibm
0.20000000298023224,0.16499049961566925,0.985567569732666,0.877939
0.30000001192092896,0.8539930582046509,0.8635582327842712,0.828761
0.30000001192092896,0.9947697520256042,0.5,0.675472
0.0,0.9480780363082886,0.5,0.761142
0.20000000298023224,0.9974361062049866,0.7688121795654297,0.366428
0.0,0.9989506006240845,0.8619561791419983,0.543569
0.0,0.9773378372192383,0.5,-0.516176
-0.10000000149011612,0.9878041744232178,0.5,-0.490383
0.5,0.91680908203125,0.9329003095626831,0.971096
0.800000011920929,0.9969854950904846,0.9553788900375366,0.972526
0.30000001192092896,0.9907834529876709,0.9167450666427612,0.493107
0.6000000238418579,0.9554720520973206,0.5,0.863715
0.30000001192092896,0.9593178033828735,0.5,0.775077
0.4000000059604645,0.9722838997840881,0.8877207040786743,0.769903
0.30000001192092896,0.8353425860404968,0.5,0.69456
0.30000001192092896,0.9877710342407227,0.9282257556915283,0.896242
0.4000000059604645,0.9819005131721497,0.5,0.939245
0.20000000298023224,0.9966363906860352,0.5,0.792804
0.800000011920929,0.9843837022781372,0.5,0.832673
0.5,0.9909170269966125,0.5,0.703591
0.6000000238418579,0.7884308695793152,0.7990192174911499,0.852675
0.20000000298023224,0.9776076674461365,0.7421429753303528,0.953697
0.800000011920929,0.9923262596130371,0.9012116193771362,0.932287
0.4000000059604645,0.9857768416404724,0.5,0.857271
0.699999988079071,0.9866949319839478,0.8137234449386597,0.875679
0.5,0.9769231081008911,0.5,0.668776
0.6000000238418579,0.8103122115135193,0.5,0.845262
0.5,0.8764983415603638,0.5,0.634712
0.10000000149011612,0.986656665802002,0.5,0.96706
0.800000011920929,0.9419456124305725,0.5,0.901168
0.6000000238418579,0.6586374640464783,0.5,0.944358
-0.30000001192092896,0.7929365038871765,0.5,-0.825902
0.699999988079071,0.8921212553977966,0.5,0.922634
0.10000000149011612,0.9560546278953552,0.9080778360366821,0.936524
0.5,0.9841449856758118,0.5,0.984519
0.20000000298023224,0.700078010559082,0.7052212953567505,0.903479
0.30000001192092896,0.5989342331886292,0.8042239546775818,0.553988
0.20000000298023224,0.7722986936569214,0.9204750061035156,0.882205
0.10000000149011612,0.9610453248023987,0.9269899725914001,0.777124
0.10000000149011612,0.8746527433395386,0.8161371350288391,0.858093
0.0,0.9762420654296875,0.7995163202285767,0.723623
0.30000001192092896,0.9782274961471558,0.25483769178390503,0.846587
0.10000000149011612,0.996151864528656,0.8707918524742126,0.99447
0.20000000298023224,0.9822540879249573,0.5,0.884363
0.5,0.9858182072639465,0.5,0.867924
0.10000000149011612,0.9966866374015808,0.5,0.799251
0.0,0.9856312274932861,0.5,0.858541
-0.10000000149011612,0.9986134767532349,0.5,-0.446756
0.0,0.5946702361106873,0.5,0.764801
0.20000000298023224,0.9951885938644409,0.5,0.915477
-0.20000000298023224,0.6107578277587891,0.5,0.815174
0.0,0.9876189231872559,0.5,0.979513
-0.4000000059604645,0.9754024147987366,0.5,0.59227
-0.5,0.9907724857330322,0.08383706212043762,-0.797905
0.10000000149011612,0.987987220287323,0.5,0.981325
0.5,0.9971029162406921,0.5,0.0
0.20000000298023224,0.880484402179718,0.5,0.875263
0.0,0.9934438467025757,0.5,-0.797015
-0.6000000238418579,0.9936701059341431,0.5,0.890683
0.20000000298023224,0.7617193460464478,0.5,0.748178
0.0,0.9367737770080566,0.5,0.764109
0.800000011920929,0.9590671062469482,0.7837767601013184,0.861993
0.30000001192092896,0.9417698979377747,0.5,0.544197
0.4000000059604645,0.9985178112983704,0.5,0.0
0.10000000149011612,0.7591604590415955,0.20843610167503357,0.315046
0.30000001192092896,0.9787010550498962,0.5,0.936501
0.10000000149011612,0.9610710740089417,0.2100224792957306,0.874736
0.0,0.997556209564209,0.5,0.537832
0.10000000149011612,0.9957236051559448,0.7072749137878418,0.846359
0.30000001192092896,0.9940219521522522,0.13878342509269714,0.993866
0.30000001192092896,0.997061550617218,0.5,0.624375
0.20000000298023224,0.9680806994438171,0.2916431128978729,0.705477
0.10000000149011612,0.9541483521461487,0.5,0.808037
0.30000001192092896,0.9831103086471558,0.5,0.988372
0.10000000149011612,0.9221853017807007,0.5,0.550082
0.10000000149011612,0.9883649349212646,0.5,0.735057
0.0,0.995029628276825,0.5,0.706991
0.30000001192092896,0.9402197003364563,0.5,0.926988
0.10000000149011612,0.9926848411560059,0.5,0.868932
0.10000000149011612,0.9325767159461975,0.5,0.92647
0.800000011920929,0.9150730967521667,0.8045690655708313,0.817268
0.10000000149011612,0.8269931077957153,0.0966130793094635,0.276185
0.10000000149011612,0.7454105615615845,0.5,0.53654
0.0,0.9446093440055847,0.8479021787643433,0.878399
0.0,0.28478536009788513,0.5,-0.542006
0.20000000298023224,0.8724690079689026,0.912339448928833,0.79026
0.10000000149011612,0.9545765519142151,0.5,0.397991
0.10000000149011612,0.8902605175971985,0.5,0.547742
0.10000000149011612,0.9374509453773499,0.5,-0.416124
0.4000000059604645,0.085381880402565,0.9013622999191284,0.958201
0.20000000298023224,0.861129105091095,0.8890601396560669,0.822974
0.0,0.3184663951396942,0.30132830142974854,0.745698
0.0,0.8535727858543396,0.5,0.702985
0.10000000149011612,0.9475436806678772,0.5,0.484802
0.10000000149011612,0.0955415889620781,0.5,0.86626
0.10000000149011612,0.8197245597839355,0.5,0.79469
0.4000000059604645,0.9408667683601379,0.9964415431022644,0.978509
0.0,0.969707190990448,0.8060814142227173,0.943884
0.0,0.8372992277145386,0.5,0.0
0.20000000298023224,0.6579214930534363,0.8755624294281006,0.790779
0.30000001192092896,0.9627522826194763,0.5,0.974164
0.10000000149011612,0.019842932000756264,0.5,0.794002
0.20000000298023224,0.784449577331543,0.5,0.879248
0.8999999761581421,0.5743759274482727,0.952035665512085,0.97107
0.699999988079071,0.8188574314117432,0.5,0.703124
0.699999988079071,0.8670320510864258,0.7916911244392395,0.982205
0.4000000059604645,0.8991165161132812,0.5,0.934712
0.5,0.947235107421875,0.98189777135849,0.969054
0.0,0.6262460947036743,0.9402065873146057,0.95197
0.0,0.9327855110168457,0.905318558216095,0.988573
0.10000000149011612,0.9317291378974915,0.5,0.849736
0.0,0.5609608888626099,0.8193352222442627,0.7368
0.20000000298023224,0.5865538716316223,0.9235795736312866,0.927184
0.0,0.05490706115961075,0.9868735074996948,0.876973
0.0,0.5863454341888428,0.9169721603393555,0.96007
0.0,0.8706232905387878,0.905318558216095,0.988573
0.10000000149011612,0.9337854385375977,0.901718020439148,0.633428
0.20000000298023224,0.4617379307746887,0.7846267223358154,0.875901
0.4000000059604645,0.9555358290672302,0.5,0.975529
0.4000000059604645,0.9377415180206299,0.9361567497253418,0.747368
0.30000001192092896,0.46756696701049805,0.5,0.97164
0.0,0.7334818840026855,0.7865899801254272,0.827527
0.10000000149011612,0.13395409286022186,0.5,0.612213
0.20000000298023224,0.5660333037376404,0.5,0.680226
0.20000000298023224,0.42400923371315,0.5,0.782884
0.0,0.7871170043945312,0.9948004484176636,0.991367
0.0,0.9493081569671631,0.9389414191246033,0.991367
0.0,0.941707193851471,0.905318558216095,0.994134
0.5,0.991266667842865,0.9479361772537231,0.988573
0.5,0.6384422183036804,0.5,0.968047
0.0,0.9823845028877258,0.5,0.628452
0.4000000059604645,0.9722027778625488,0.9636111855506897,0.714027
0.8999999761581421,0.9320977926254272,0.9904570579528809,0.959768
0.0,0.9799181818962097,0.9498183131217957,0.99458
0.0,0.5762813091278076,0.5,0.963146
0.4000000059604645,0.8199700117111206,0.9489486813545227,0.988573
0.10000000149011612,0.8431196212768555,0.5,0.885402
0.699999988079071,0.7406846284866333,0.9564323425292969,0.770978
0.5,0.9320035576820374,0.9562326669692993,0.892969
0.5,0.04859836772084236,0.9951257705688477,0.887522
0.0,0.4158520996570587,0.9522307515144348,0.983079
0.0,0.8507866859436035,0.9125044345855713,0.938169
0.30000001192092896,0.4549897313117981,0.9223580360412598,0.988573
0.20000000298023224,0.6765041351318359,0.9176243543624878,0.832285
-0.20000000298023224,0.1812594085931778,0.19908767938613892,0.644162
0.8999999761581421,0.9663407802581787,0.5,-0.833923
0.6000000238418579,0.9806507229804993,0.5,0.995956
0.20000000298023224,0.9910832643508911,0.5,0.886648
0.4000000059604645,0.99205082654953,0.5,0.753319
0.4000000059604645,0.9829498529434204,0.5,0.466814
0.30000001192092896,0.6157636046409607,0.5,0.933397
0.10000000149011612,0.9268279075622559,0.5,0.362142
0.5,0.9434465765953064,0.9959636926651001,0.690704
0.20000000298023224,0.26919466257095337,0.9633278846740723,0.994648
0.0,0.5729967355728149,0.9490314722061157,0.96945
0.0,0.40431201457977295,0.915630042552948,0.979046
0.0,0.8592000603675842,0.8094680905342102,0.988573
0.10000000149011612,0.7816965579986572,0.5,0.651099
0.30000001192092896,0.38533690571784973,0.8679423928260803,0.935281
0.0,0.7076795101165771,0.5,0.783423
0.10000000149011612,0.15181273221969604,0.5,0.663949
-0.20000000298023224,0.7574500441551208,0.5,0.659667
0.5,0.9005694389343262,0.8149823546409607,0.832595
0.30000001192092896,0.9044497609138489,0.5,0.551761
0.20000000298023224,0.5269359350204468,0.7552365660667419,0.861711
0.30000001192092896,0.556544840335846,0.9624857902526855,0.432126
0.0,0.9216052889823914,0.8857691287994385,0.966286
0.20000000298023224,0.4880625605583191,0.5,0.624312
0.20000000298023224,0.13133853673934937,0.5,0.504739
0.20000000298023224,0.3072147071361542,0.5,0.780763
0.5,0.9120044708251953,0.9826087951660156,0.761516
0.0,0.4351152181625366,0.8929492235183716,0.895904
0.0,0.824044406414032,0.85606849193573,0.667749
0.5,0.927854061126709,0.8973861932754517,0.833766
0.10000000149011612,0.4847882091999054,0.9891148805618286,0.969957
0.20000000298023224,0.8468335866928101,0.9831265211105347,0.961035
0.0,0.9333692193031311,0.9840482473373413,0.979898
0.10000000149011612,0.3919443190097809,0.8821783065795898,0.984274
